what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1394904624763
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1394904624764
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1394904624772
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1394904624783
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1394904624784
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1394904624803
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1394904624805
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1394904624806
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1394904624807
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1394904624808
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1394904624831
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1394904624832
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1394904624833
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1394904624834
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1394904624835
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1394904624835
os,sysinfo,,,"macosx",1394904624840
arch,sysinfo,,,"x86_64",1394904624840
ws,sysinfo,,,"cocoa",1394904624840
locale,sysinfo,,,"en_US",1394904624840
processors,sysinfo,,,"8",1394904624840
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1394904624840
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1394904624840
java.specification.name,sysinfo,,,"Java Platform API Specification",1394904624840
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1394904624840
java.specification.version,sysinfo,,,"1.6",1394904624840
java.vendor,sysinfo,,,"Apple Inc.",1394904624840
java.version,sysinfo,,,"1.6.0_65",1394904624840
java.vm.info,sysinfo,,,"mixed mode",1394904624840
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1394904624840
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1394904624840
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1394904624840
java.vm.specification.version,sysinfo,,,"1.0",1394904624840
java.vm.vendor,sysinfo,,,"Apple Inc.",1394904624840
java.vm.version,sysinfo,,,"20.65-b04-462",1394904624840
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1394904629979
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1394904635525
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1394904635546
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1394904635547
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1394904643889
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1394904643890
started,bundle,org.eclipse.emf.edit,2.7.0.v20110606-0949,"org.eclipse.emf.edit",1394904644030
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20110606-0949,"org.eclipse.emf.common.ui",1394904644032
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20110606-0949,"org.eclipse.emf.edit.ui",1394904644033
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1394904644035
